"Country","Year","Region","Value.x","Value.y","Value"
"Albania",1,"Europe & Central Asia",9.33697302290955,4.84298085722844,-1.86943996911257
"Albania",2,"Europe & Central Asia",9.32098689206325,4.82521638599275,-2.43783224240207
"Algeria",3,"Middle East & North Africa",9.53964411911878,4.62210145873252,-1.00342938969092
"Algeria",4,"Middle East & North Africa",9.50450141052567,4.61096364214151,-1.46915436698704
"Algeria",5,"Middle East & North Africa",9.48493720487931,4.57667840278393,-1.6280602365622
"Algeria",6,"Middle East & North Africa",9.46109909032337,4.53235823893566,-1.81063652499774
"Algeria",7,"Middle East & North Africa",9.43986353025443,4.51769197776243,-2.71719185901949
"Argentina",1,"Latin America & Caribbean ",9.90098442231801,4.61353185407422,-0.530144368152391
"Argentina",2,"Latin America & Caribbean ",9.88989559901666,4.6122943081149,-0.534298979951633
"Argentina",3,"Latin America & Caribbean ",9.87816974455184,4.60616551273831,-0.568313503638619
"Argentina",4,"Latin America & Caribbean ",9.87302834505142,4.60107678005761,-0.577571022712463
"Argentina",5,"Latin America & Caribbean ",9.85849018660539,4.58810272913573,-0.754150624120277
"Argentina",6,"Latin America & Caribbean ",9.85587169859446,4.58548595084943,-0.780864261045176
"Argentina",7,"Latin America & Caribbean ",9.78188473077688,4.57577604465332,-0.798041138406129
"Argentina",8,"Latin America & Caribbean ",9.75672617114073,4.56726967616617,-0.452619610701629
"Argentina",9,"Latin America & Caribbean ",9.68719547617102,4.55319409848009,-0.477761644978794
"Armenia",1,"Europe & Central Asia",9.11493018717152,4.84835110182992,-1.38353816292617
"Armenia",2,"Europe & Central Asia",9.10719961305667,4.8331711618553,-1.4211342839626
"Armenia",3,"Europe & Central Asia",9.08136999067922,4.82420207394241,-1.42129997031871
"Armenia",4,"Europe & Central Asia",9.04664427930539,4.81702755286232,-1.43409901106803
"Armenia",5,"Europe & Central Asia",8.98092720764838,4.79441190678768,-1.49490459584394
"Armenia",6,"Europe & Central Asia",8.94767606249969,4.78614035334664,-1.50530314770209
"Armenia",7,"Europe & Central Asia",8.89151157052756,4.77475604897961,-1.55580236326819
"Armenia",8,"Europe & Central Asia",8.8378263640077,4.71972376717198,-1.23412278127682
"Armenia",9,"Europe & Central Asia",8.79330862749655,4.69681966424657,-1.30933331998376
"Australia",1,"East Asia & Pacific",10.7221654555433,4.63082550229839,0.809035088261871
"Australia",2,"East Asia & Pacific",10.7190735802887,4.62708775648054,0.78939782707769
"Australia",3,"East Asia & Pacific",10.7175240503715,4.61952843471803,0.780278550350151
"Australia",4,"East Asia & Pacific",10.7025700835047,4.61644237052701,0.617695999011947
"Australia",5,"East Asia & Pacific",10.6283756188801,4.61483426080885,0.562201014783521
"Australia",6,"East Asia & Pacific",10.5991316132947,4.60785284931745,0.454864610402932
"Australia",7,"East Asia & Pacific",10.5677207229314,4.60621941544347,0.414841016586643
"Australia",8,"East Asia & Pacific",10.5374153734361,4.60415083046139,0.874730965266991
"Australia",9,"East Asia & Pacific",10.4907185075045,4.59472546944608,0.866293439418448
"Austria",1,"Europe & Central Asia",10.830322498286,4.580615001268,1.08628663897747
"Austria",2,"Europe & Central Asia",10.8111410910146,4.57977083273068,1.07497511890196
"Austria",3,"Europe & Central Asia",10.7971235938455,4.57901518603033,1.00590837626308
"Austria",4,"Europe & Central Asia",10.7799974143984,4.57506706985051,0.985230801967138
"Austria",5,"Europe & Central Asia",10.7472075915754,4.57484988883189,0.96137881369008
"Austria",6,"Europe & Central Asia",10.7054891380082,4.5724112187485,0.949706165413559
"Austria",7,"Europe & Central Asia",10.65490364122,4.57204195578159,0.89011101409077
"Austria",8,"Europe & Central Asia",10.637296714815,4.56874076047614,1.12226696441437
"Austria",9,"Europe & Central Asia",10.6188853420309,4.56269354422619,1.11859137098342
"Azerbaijan",1,"Europe & Central Asia",9.74683374249075,4.57698227774345,-1.52106080181669
"Azerbaijan",2,"Europe & Central Asia",9.74683374249075,4.57483419693095,-1.52675254581549
"Azerbaijan",3,"Europe & Central Asia",9.7001466285181,4.41817442185381,-1.5539559029751
"Azerbaijan",4,"Europe & Central Asia",9.68843617111926,4.36085254037952,-1.55665572699513
"Azerbaijan",5,"Europe & Central Asia",9.63299030483845,4.28101835024935,-1.56107641155622
"Azerbaijan",6,"Europe & Central Asia",9.59492226916792,4.26931346429317,-1.77160396302449
"Azerbaijan",7,"Europe & Central Asia",9.59424130216851,4.21440772152415,-1.79854242152489
"Azerbaijan",8,"Europe & Central Asia",9.5324238711453,4.19534376200777,-1.38725482221502
"Azerbaijan",9,"Europe & Central Asia",9.42383754623859,4.0550946155776,-1.50309787666277
"Bahrain",8,"Middle East & North Africa",10.475596404719,4.3910829329435,-2.29105185718037
"Belarus",1,"Europe & Central Asia",9.81574863822812,4.72891057274601,-0.300726785972589
"Belarus",2,"Europe & Central Asia",9.77678989949017,4.71178745840498,-0.355290188869028
"Belarus",3,"Europe & Central Asia",9.77280922889401,4.67957210451594,-0.363109889576785
"Belarus",4,"Europe & Central Asia",9.76422548520262,4.63617269337566,-0.394970371015523
"Belarus",5,"Europe & Central Asia",9.75382677798172,4.61555143422753,-0.404215888707733
